Phe,random_id,fnumber,cvid,pearson
DTT,Random_0,48,cv9,0.327534461630795
DTT,Random_0,48,cv10,0.454471236830149
DTT,Random_0,48,cv11,0.380854127817195
DTT,Random_0,48,cv12,0.420963619174238
DTT,Random_0,48,cv13,0.397100292890605
DTT,Random_0,48,cv14,0.441355100827669
DTT,Random_0,48,cv15,0.406392537460429
DTT,Random_0,48,cv16,0.50588446428504
DTT,Random_0,48,cv17,0.439453021652251
DTT,Random_0,48,cv18,0.355818833298325
DTT,Random_0,48,cv19,0.366436104616204
DTT,Random_0,48,cv20,0.364450174168675
DTT,Random_0,48,cv21,0.455901678956403
DTT,Random_0,48,cv22,0.514410324480718
DTT,Random_0,48,cv23,0.430080773488573
DTT,Random_0,48,cv24,0.398540263290374
DTT,Random_0,48,cv25,0.416622747355814
DTT,Random_0,48,cv26,0.444254197988653
DTT,Random_0,48,cv27,0.37727974104436
DTT,Random_0,48,cv28,0.437612222878445
DTT,Random_0,48,cv29,0.486539842963856
DTT,Random_0,96,cv0,0.518568286186859
DTT,Random_0,96,cv1,0.519664524041594
DTT,Random_0,96,cv2,0.449424301983496
DTT,Random_0,96,cv3,0.532314406356567
DTT,Random_0,96,cv4,0.490880794470917
DTT,Random_0,96,cv5,0.441596233614814
DTT,Random_0,96,cv6,0.455985311408802
DTT,Random_0,96,cv7,0.566911062250023
DTT,Random_0,96,cv8,0.468336544817894
DTT,Random_0,96,cv9,0.420287044291839
DTT,Random_0,96,cv10,0.507918705273748
DTT,Random_0,96,cv11,0.459392986941769
DTT,Random_0,96,cv12,0.507782624784813
DTT,Random_0,96,cv13,0.4501274532522
DTT,Random_0,96,cv14,0.548070101878219
DTT,Random_0,96,cv15,0.434362465182424
DTT,Random_0,96,cv16,0.534233357269459
DTT,Random_0,96,cv17,0.484390246349146
DTT,Random_0,96,cv18,0.483117877425617
DTT,Random_0,96,cv19,0.444393510773366
DTT,Random_0,96,cv20,0.461759660550138
DTT,Random_0,96,cv21,0.479959661221888
DTT,Random_0,96,cv22,0.553200901046312
DTT,Random_0,96,cv23,0.527149666025072
DTT,Random_0,96,cv24,0.47220194625279
DTT,Random_0,96,cv26,0.521990515610304
DTT,Random_0,96,cv27,0.433618006527712
DTT,Random_0,96,cv28,0.48531901392926
DTT,Random_0,96,cv25,0.506326605566897
DTT,Random_0,96,cv29,0.530413375425803
DTT,Random_0,192,cv0,0.5461440809608
DTT,Random_0,192,cv2,0.494913939648625
DTT,Random_0,192,cv1,0.534936482430082
DTT,Random_0,192,cv3,0.571968126124609
DTT,Random_0,192,cv4,0.555786527371685
DTT,Random_0,192,cv5,0.491057241008144
DTT,Random_0,192,cv6,0.459141289230928
DTT,Random_0,192,cv7,0.549601054118341
DTT,Random_0,192,cv8,0.495029940120686
DTT,Random_0,192,cv9,0.465059276719266
DTT,Random_0,192,cv10,0.513903777143905
DTT,Random_0,192,cv11,0.50973866124671
DTT,Random_0,192,cv12,0.532352849399452
DTT,Random_0,192,cv13,0.556473286470709
DTT,Random_0,192,cv14,0.563286463053808
DTT,Random_0,192,cv15,0.48250436237263
DTT,Random_0,192,cv16,0.577398520283982
DTT,Random_0,192,cv17,0.500301246301867
DTT,Random_0,192,cv18,0.529328590591022
DTT,Random_0,192,cv19,0.477202646324936
DTT,Random_0,192,cv20,0.565600976860201
DTT,Random_0,192,cv21,0.479316842822307
DTT,Random_0,192,cv22,0.622068651561643
DTT,Random_0,192,cv23,0.562123810420004
DTT,Random_0,192,cv25,0.546169852567043
DTT,Random_0,192,cv24,0.45903090653885
DTT,Random_0,192,cv26,0.550361492630606
DTT,Random_0,192,cv28,0.48437156679857
DTT,Random_0,192,cv27,0.460262551855065
DTT,Random_0,192,cv29,0.584973009061736
DTT,Random_0,384,cv0,0.57592759192959
DTT,Random_0,384,cv1,0.557604651754343
DTT,Random_0,384,cv2,0.523358778661933
DTT,Random_0,384,cv3,0.575767291814034
DTT,Random_0,384,cv4,0.567719256081019
DTT,Random_0,384,cv5,0.51747886420811
DTT,Random_0,384,cv6,0.491839280201132
DTT,Random_0,384,cv7,0.592905071413902
DTT,Random_0,384,cv8,0.535863358016592
DTT,Random_0,384,cv9,0.503385759878804
DTT,Random_0,384,cv10,0.538799236675153
DTT,Random_0,384,cv11,0.52286290523337
DTT,Random_0,384,cv12,0.571751326592718
DTT,Random_0,384,cv13,0.556228673269804
DTT,Random_0,384,cv14,0.588852634840287
DTT,Random_0,384,cv16,0.61126419629188
DTT,Random_0,384,cv15,0.529216110752287
DTT,Random_0,384,cv17,0.554969720984994
DTT,Random_0,384,cv18,0.528888246821496
DTT,Random_0,384,cv19,0.47658450504348
DTT,Random_0,384,cv20,0.573947501197465
DTT,Random_0,384,cv21,0.52587419887246
DTT,Random_0,384,cv22,0.596857029498365
DTT,Random_0,384,cv23,0.571797766469693
DTT,Random_0,384,cv24,0.526812194047831
DTT,Random_0,384,cv25,0.563622187167816
DTT,Random_0,384,cv26,0.565931845775082
DTT,Random_0,384,cv27,0.523177045148676
DTT,Random_0,384,cv28,0.509808057172644
DTT,Random_0,384,cv29,0.568681295048177
DTT,Random_0,1000,cv0,0.608202102366852
DTT,Random_0,1000,cv3,0.644223256391633
DTT,Random_0,1000,cv1,0.568252904859436
DTT,Random_0,1000,cv2,0.558561521432134
DTT,Random_0,1000,cv4,0.567549247077162
DTT,Random_0,1000,cv5,0.531257365565303
DTT,Random_0,1000,cv6,0.517569900092113
DTT,Random_0,1000,cv7,0.587833951972554
DTT,Random_0,1000,cv8,0.600324083839467
DTT,Random_0,1000,cv9,0.524271874483867
DTT,Random_0,1000,cv10,0.58405317760764
DTT,Random_0,1000,cv11,0.562380380350164
DTT,Random_0,1000,cv12,0.604227167826422
DTT,Random_0,1000,cv13,0.590921939239038
DTT,Random_0,1000,cv14,0.62302470264327
DTT,Random_0,1000,cv16,0.624187302539813
DTT,Random_0,1000,cv15,0.569177484904191
DTT,Random_0,1000,cv17,0.558262544026059
DTT,Random_0,1000,cv18,0.572895447627989
DTT,Random_0,1000,cv19,0.522868389977039
DTT,Random_0,1000,cv20,0.597264541999495
DTT,Random_0,1000,cv21,0.573919308522681
DTT,Random_0,1000,cv23,0.596610060559842
DTT,Random_0,1000,cv24,0.544649828538619
DTT,Random_0,1000,cv26,0.591971592808177
DTT,Random_0,1000,cv25,0.589938616326214
DTT,Random_0,1000,cv27,0.562084373316831
DTT,Random_0,1000,cv22,0.646156360478096
DTT,Random_0,1000,cv28,0.558425855327299
DTT,Random_0,1000,cv29,0.600621634391163
DTT,Random_0,2000,cv0,0.599464665639049
DTT,Random_0,2000,cv2,0.542142431639541
DTT,Random_0,2000,cv1,0.597224137749264
DTT,Random_0,2000,cv3,0.633081699509358
DTT,Random_0,2000,cv4,0.565600563088244
DTT,Random_0,2000,cv5,0.561169456768505
DTT,Random_0,2000,cv6,0.533342562580823
DTT,Random_0,2000,cv7,0.64186616403736
DTT,Random_0,2000,cv8,0.617831491820876
DTT,Random_0,2000,cv9,0.548563261504772
DTT,Random_0,2000,cv10,0.591290939944015
DTT,Random_0,2000,cv11,0.554087127909836
DTT,Random_0,2000,cv13,0.612276015623711
DTT,Random_0,2000,cv12,0.619488906879607
DTT,Random_0,2000,cv14,0.664312305901878
DTT,Random_0,2000,cv15,0.575710989142411
DTT,Random_0,2000,cv16,0.643415402874721
DTT,Random_0,2000,cv17,0.592801679482209
DTT,Random_0,2000,cv18,0.59864083386191
